sold.,No.,ANGULO,AREA ,t,b,WEIGHT,Rx,Rz,Rw,Y=X,Ix=Iy,Q
0.125,1,1 X 1 X 0.109 ,0.206150412300825,0.109000000000000,1.000000000000000,0.701600585223116,0.306692913385827,0.196062992125984,0.370851204193947,0.290157480314961,0.019390619745651,1.000000000000000
0.125,2,1 X 1 X 0.125 ,0.234360468720937,0.125000000000000,1.000000000000000,0.797701048524750,0.304330708661417,0.195669291338583,0.384000000000000,0.295669291338583,0.021705805771336,1.000000000000000
0.125,3,1 1/4 X 1 1/4 X 0.109 ,0.260555521111042,0.109000000000000,1.250000000000000,0.887081199707389,0.387007874015748,0.246456692913386,0.485000000000000,0.352755905511811,0.039024727809980,0.978104560270399
0.125,4,1 1/4 X 1 1/4 X 0.125,0.296825593651187,0.125000000000000,1.250000000000000,1.010734942696900,0.384645669291339,0.245669291338583,0.485000000000000,0.358661417322835,0.043916026579806,1.000000000000000
0.125,5,1 1/2 X 1 1/2 X 0.109,0.315115630231260,0.109000000000000,1.500000000000000,1.072561814191660,0.467322834645669,0.297244094488189,0.587000000000000,0.415354330708661,0.068818301570356,0.905725472324479
0.125,6,1 1/2 X 1 1/2 X 0.125,0.359445718891438,0.125000000000000,1.500000000000000,1.229817117776150,0.465354330708661,0.296062992125984,0.587000000000000,0.421259842519685,0.077839642966161,0.961312611866946
0.125,7,1 1/2 X 1 1/2 X 0.138,0.394940789881580,0.138000000000000,1.500000000000000,1.340030236527680,0.463385826771654,0.295669291338583,0.587000000000000,0.425984251968504,0.084804223681856,0.996986061473683
0.125,8,1 1/2 X 1 1/2 X 0.156,0.443610887221774,0.156000000000000,1.500000000000000,1.511398195562060,0.461023622047244,0.294488188976378,0.583000000000000,0.432283464566929,0.094286291246338,1.000000000000000
0.1875,9,1 1/2 X 1 1/2 X 0.188,0.527311054622109,0.188000000000000,1.500000000000000,1.800371616678860,0.456692913385827,0.294488188976378,0.583000000000000,0.443700787401575,0.109980432001288,1.000000000000000
0.125,10,1 3/4 X 1 3/4 X 0.125,0.421910843821688,0.125000000000000,1.750000000000000,1.430082418922210,0.545669291338583,0.346850393700787,0.689000000000000,0.483858267716535,0.125626052969509,0.898198047178104
0.125,11,1 3/4 X 1 3/4 X 0.145,0.486545973091946,0.145000000000000,1.750000000000000,1.649836625213360,0.542913385826772,0.345669291338583,0.687000000000000,0.490944881889764,0.143411831300227,0.959136247567330
0.125,12,1 3/4 X 1 3/4 X 0.156,0.521731043462087,0.156000000000000,1.750000000000000,1.770130212143380,0.541338582677165,0.344881889763780,0.685000000000000,0.495275590551181,0.152891957660969,0.985992024982455
0.1875,13,1 3/4 X 1 3/4 X 0.188,0.621086242172484,0.188000000000000,1.750000000000000,2.116898317483540,0.537007874015748,0.343307086614173,0.677000000000000,0.506299212598425,0.179107270943167,1.000000000000000
0.125,14,2 X 2 X 0.125,0.484375968751938,0.125000000000000,2.000000000000000,1.649836625213360,0.626377952755906,0.397637795275591,0.786000000000000,0.546456692913386,0.190044591505731,0.835083482489261
0.125,15,2 X 2 X 0.137,0.529171058342117,0.137000000000000,2.000000000000000,1.800371616678860,0.624409448818898,0.396850393700787,0.784000000000000,0.550787401574803,0.206317000971779,0.879309746796771
0.125,16,2 X 2 X 0.143,0.551491102982206,0.143000000000000,2.000000000000000,1.874967081199710,0.623622047244095,0.396456692913386,0.783000000000000,0.553149606299213,0.214477348391736,0.898639407770333
0.125,17,2 X 2 X 0.155,0.595976191952384,0.155000000000000,2.000000000000000,2.030206291148500,0.622047244094488,0.395669291338583,0.783000000000000,0.557480314960630,0.230608680883801,0.932809260071985
0.125,18,2 X 2 X 0.163,0.625426250852502,0.163000000000000,2.000000000000000,2.120258473543040,0.620866141732284,0.395275590551181,0.779000000000000,0.560236220472441,0.241086037666061,0.952794081663544
0.125,19,2 X 2 X 0.176,0.673011346022692,0.176000000000000,2.000000000000000,2.288266276517920,0.618897637795276,0.394488188976378,0.781000000000000,0.564960629921260,0.257786420439851,0.981394518813396
0.1875,20,2 X 2 X 0.188,0.714861429722860,0.188000000000000,2.000000000000000,2.440145330407220,0.617322834645669,0.393700787401575,0.779000000000000,0.569291338582677,0.272424742357080,1.000000000000000
0.1875,21,2 X 2 X 0.205,0.777946555893112,0.205000000000000,2.000000000000000,2.645114850036580,0.614960629921260,0.392913385826772,0.778000000000000,0.575590551181102,0.294201165093384,1.000000000000000
0.1875,22,2 X 2 X 0.232,0.874201748403497,0.232000000000000,2.000000000000000,2.970377956595950,0.611417322834646,0.391732283464567,0.771000000000000,0.585039370078740,0.326803838523047,1.000000000000000
0.25,23,2 X 2 X 0.250,0.937441874883750,0.250000000000000,2.000000000000000,3.190132162887100,0.609055118110236,0.390944881889764,0.765000000000000,0.591732283464567,0.347742316936677,1.000000000000000
0.25,24,2 X 2 X 0.313,1.152272304544610,0.313000000000000,2.000000000000000,3.917941965374300,0.601181102362205,0.389763779527559,,0.613779527559055,0.416452778908100,1.000000000000000
0.313,25,2 X 2 X 0.375,1.359352718705440,0.375000000000000,2.000000000000000,4.697498171177760,0.590551181102362,0.389370078740157,,0.635826771653543,0.474075208798939,1.000000000000000
0.1875,26,2 1/2 X 2 1/2 X 0.188,0.902411804823610,0.188000000000000,2.500000000000000,3.070510607168980,0.778346456692913,0.494881889763780,,0.694488188976378,0.546702013313817,0.920355287973123
0.1875,27,2 1/2 X 2 1/2 X 0.212,1.015097030194060,0.212000000000000,2.500000000000000,3.450208241892220,0.774803149606299,0.493307086614173,,0.703149606299213,0.609382968607837,0.967862236504467
0.1875,28,2 1/2 X 2 1/2 X 0.230,1.194742389484780,0.230000000000000,2.500000000000000,3.730445257254330,0.772440944881890,0.492519685039370,,0.709842519685039,0.712860983747884,0.996986061473683
0.25,29,2 1/2 X 2 1/2 X 0.250,1.187457374914750,0.250000000000000,2.500000000000000,4.040251645940020,0.769685039370079,0.491338582677165,,0.716929133858268,0.703467631805839,1.000000000000000
0.25,30,2 1/2 X 2 1/2 X 0.313,1.464907929815860,0.313000000000000,2.500000000000000,4.999912216532550,0.761023622047244,0.488976377952756,,0.739763779527559,0.848411613517536,1.000000000000000
0.313,31,2 1/2 X 2 1/2 X 0.375,1.734298468596940,0.375000000000000,2.500000000000000,5.900434040477930,0.753149606299213,0.487401574803150,,0.761811023622047,0.983753628933106,1.000000000000000
0.1875,32,3 X 3 X 0.188,1.089807179614360,0.188000000000000,3.000000000000000,3.709612289685440,0.939370078740158,0.596456692913386,,0.819685039370079,0.961663450045854,0.836426345567747
0.1875,33,3 X 3 X 0.227,1.310527621055240,0.227000000000000,3.000000000000000,4.460271153377230,0.933464566929134,0.593700787401575,,0.833858267716535,1.141936233826740,0.922943405139808
0.25,34,3 X 3 X 0.250,1.437472874945750,0.250000000000000,3.000000000000000,4.899107534747620,0.930314960629921,0.592519685039370,,0.842519685039370,1.244112542231840,0.961312611866946
0.25,35,3 X 3 X 0.281,1.607043214086430,0.281000000000000,3.000000000000000,5.469662033650330,0.925984251968504,0.590551181102362,,0.853543307086614,1.377954117455760,1.000000000000000
0.25,36,3 X 3 X 0.313,1.780023560047120,0.313000000000000,3.000000000000000,6.102043404047790,0.921653543307087,0.588976377952756,,0.865354330708661,1.512032564895310,1.000000000000000
0.313,37,3 X 3 X 0.375,2.109399218798440,0.375000000000000,3.000000000000000,7.204174591563030,0.913385826771654,0.586614173228346,,0.887401574803150,1.759816224697860,1.000000000000000
0.4375,38,3 X 3 X 0.500,2.750015500031000,0.500000000000000,3.000000000000000,9.401716654474520,0.897637795275591,0.583858267716536,,0.931889763779528,2.215834920850820,1.000000000000000
0.25,39,3 1/2 X 3 1/2 X 0.250,1.687488374976750,0.250000000000000,3.500000000000000,5.799629358693000,1.091338582677170,0.693700787401575,,0.967716535433071,2.009832239058120,0.898198047178104
0.25,40,3 1/2 X 3 1/2 X 0.313,2.089869179738360,0.313000000000000,3.500000000000000,7.197454279444040,1.082677165354330,0.689763779527559,,0.990551181102362,2.449723428571420,0.987123040877080
0.25,41,3 1/2 X 3 1/2 X 0.344,2.289664579329160,0.344000000000000,3.500000000000000,7.792873933187030,1.094488188976380,0.688188976377953,,1.001968503937010,2.742799264506090,1.000000000000000
0.313,42,3 1/2 X 3 1/2 X 0.375,2.484344968689940,0.375000000000000,3.500000000000000,8.501194830529140,1.074015748031500,0.687007874015748,,1.012992125984250,2.865716335090680,1.000000000000000
0.4375,43,3 1/2 X 3 1/2 X 0.500,3.250046500093000,0.500000000000000,3.500000000000000,11.101955620580300,1.057480314960630,0.682677165354331,,1.057874015748030,3.634412003128670,1.000000000000000
0.25,44,4 X 4 X 0.250,1.937503875007750,0.250000000000000,4.000000000000000,6.599346500853450,1.252362204724410,0.795275590551181,,1.092913385826770,3.038802568010620,0.835083482489261
0.25,45,4 X 4 X 0.313,2.402349804699610,0.313000000000000,4.000000000000000,8.198780785174350,1.243307086614170,0.790944881889764,,1.115748031496060,3.713582385404590,0.936712046716662
0.313,46,4 X 4 X 0.375,2.859445718891440,0.375000000000000,4.000000000000000,9.798215069495240,1.234645669291340,0.787401574803150,,1.138188976377950,4.358795877713280,1.000000000000000
0.375,47,4 X 4 X 0.438,3.308636617273230,0.438000000000000,4.000000000000000,11.303564984150200,1.225984251968500,0.784645669291339,,1.161023622047240,4.973004532697640,1.000000000000000
0.4375,48,4 X 4 X 0.500,3.750077500155000,0.500000000000000,4.000000000000000,12.802194586686200,1.201968503937010,0.782283464566929,,1.183464566929130,5.417843033378110,1.000000000000000
0.5,49,4 X 4 X 0.625,4.609399218798440,0.625000000000000,4.000000000000000,15.698649109973200,1.556692913385830,0.779133858267717,,1.227559055118110,11.169924061783800,1.000000000000000
0.313,50,5 X 5 X 0.375,3.609337218674440,0.375000000000000,5.000000000000000,12.298171177761500,1.556692913385830,0.989763779527559,,1.388976377952760,8.746480990742380,0.919236235407718
0.375,51,5 X 5 X 0.438,4.183613367226730,0.438000000000000,5.000000000000000,14.300824189222100,1.547637795275590,0.986220472440945,,1.411417322834650,10.020518550461900,0.979757050862772
0.4375,52,5 X 5 X 0.500,4.749984499969000,0.500000000000000,5.000000000000000,16.202672518897800,1.538976377952760,0.983070866141732,,1.434251968503940,11.250092675486800,1.000000000000000
0.313,53,6 X 6 X 0.375,4.359383718767440,0.375000000000000,6.000000000000000,14.898931967812700,1.878740157480320,1.192519685039370,,1.638976377952760,15.387162299837700,0.835083482489261
0.4375,54,6 X 6 X 0.500,5.750046500093000,0.500000000000000,6.000000000000000,19.603150451109500,1.860629921259840,1.184645669291340,,1.684645669291340,19.906337278056800,0.961312611866946
0.5,55,6 X 6 X 0.625,7.109399218798440,0.625000000000000,6.000000000000000,24.199843940502300,1.843307086614170,1.178346456692910,,1.729921259842520,24.156181697684900,1.000000000000000
0.5625,56,6 X 6 X 0.750,8.437441874883750,0.750000000000000,6.000000000000000,28.702453060229200,1.826771653543310,1.173228346456690,,1.775196850393700,28.156542344456800,1.000000000000000
0.9375,57,6 X 6 X 1.000,11.000062000124000,1.000000000000000,6.000000000000000,37.405257254328200,1.795669291338580,1.168110236220470,,1.863779527559060,35.468910157369000,1.000000000000000